mtn,ElBin,Species,nDet,k,nInd
FR,1750,Microtus longicaudus,1,5,1
FR,1750,Microtus ochrogaster,1,5,1
FR,1750,Neotoma mexicana,5,5,31
FR,1750,Peromyscus maniculatus,5,5,87
FR,1750,Peromyscus nasutus,5,5,26
FR,1750,Reithrodontomys megalotis,4,5,5
FR,1750,Reithrodontomys montanus,3,5,4
FR,1750,Tamias minimus,3,5,1
FR,1750,Zapus princeps,1,5,1
FR,1800,Microtus ochrogaster,3,5,4
FR,1800,Neotoma mexicana,5,5,4
FR,1800,Peromyscus maniculatus,5,5,19
FR,1800,Reithrodontomys megalotis,3,5,3
FR,1800,Reithrodontomys montanus,3,5,5
FR,1900,Neotoma mexicana,2,5,2
FR,1900,Peromyscus maniculatus,4,5,8
FR,1900,Reithrodontomys megalotis,5,5,3
FR,1900,Tamias minimus,3,5,3
FR,1900,Tamias quadrivittatus,5,5,7
FR,1950,Peromyscus maniculatus,5,5,17
FR,1950,Reithrodontomys megalotis,2,5,1
FR,1950,Tamias minimus,5,5,8
FR,1950,Tamias quadrivittatus,3,5,2
FR,1950,Zapus hudsonicus preblei,1,5,1
FR,2150,Microtus longicaudus,5,5,23
FR,2150,Microtus montanus,2,5,3
FR,2150,Microtus ochrogaster,5,5,9
FR,2150,Neotoma mexicana,3,5,3
FR,2150,Peromyscus maniculatus,5,5,165
FR,2150,Reithrodontomys megalotis,4,5,7
FR,2150,Tamias minimus,1,5,2
FR,2150,Tamias quadrivittatus,3,5,2
FR,2200,Microtus ochrogaster,3,5,3
FR,2200,Microtus pennsylvanicus,1,5,1
FR,2200,Neotoma mexicana,2,5,1
FR,2200,Peromyscus maniculatus,5,5,62
FR,2200,Tamias minimus,5,5,22
FR,2200,Tamias quadrivittatus,1,5,1
FR,2200,Tamias umbrinus,4,5,3
FR,2400,Callospermophilus lateralis,2,5,3
FR,2400,Microtus longicaudus,2,5,3
FR,2400,Microtus montanus,1,5,1
FR,2400,Peromyscus maniculatus,5,5,29
FR,2400,Sorex monticolus,3,5,3
FR,2400,Tamias minimus,2,5,1
FR,2400,Tamias umbrinus,4,5,7
FR,2400,Zapus princeps,5,5,9
FR,2700,Callospermophilus lateralis,2,5,2
FR,2700,Peromyscus maniculatus,5,5,17
FR,2700,Sorex nanus,1,5,1
FR,2700,Tamias minimus,5,5,9
FR,2800,Callospermophilus lateralis,4,5,12
FR,2800,Microtus montanus,5,5,13
FR,2800,Myodes gapperi,5,5,27
FR,2800,Neotoma cinerea,4,5,1
FR,2800,Peromyscus maniculatus,5,5,8
FR,2800,Sorex cinereus,2,5,3
FR,2800,Sorex monticolus,4,5,8
FR,2800,Sorex palustris,1,5,1
FR,2800,Tamias minimus,2,5,11
FR,2800,Tamias umbrinus,2,5,4
FR,2800,Tamiasciurus hudsonicus,1,5,1
FR,2800,Zapus princeps,1,5,1
FR,2900,Myodes gapperi,2,5,1
FR,2900,Peromyscus maniculatus,5,5,17
FR,2900,Sorex cinereus,1,5,2
FR,2900,Sorex monticolus,1,5,1
FR,2900,Tamias minimus,3,5,7
FR,2900,Tamias umbrinus,5,5,11
FR,2900,Zapus princeps,5,5,11
FR,3000,Callospermophilus lateralis,1,5,1
FR,3000,Microtus longicaudus,2,5,3
FR,3000,Microtus montanus,1,5,1
FR,3000,Myodes gapperi,5,5,78
FR,3000,Peromyscus maniculatus,4,5,4
FR,3000,Phenacomys intermedius,5,5,2
FR,3000,Sorex cinereus,3,5,3
FR,3000,Sorex monticolus,2,5,3
FR,3000,Tamias minimus,4,5,2
FR,3000,Tamiasciurus hudsonicus,3,5,2
FR,3000,Zapus princeps,5,5,10
FR,3100,Microtus longicaudus,3,5,2
FR,3100,Myodes gapperi,5,5,19
FR,3100,Peromyscus maniculatus,5,5,6
FR,3100,Sorex cinereus,3,5,5
FR,3100,Sorex monticolus,3,5,3
FR,3100,Tamias minimus,5,5,22
FR,3100,Zapus princeps,5,5,11
FR,3350,Callospermophilus lateralis,4,5,3
FR,3350,Myodes gapperi,3,5,5
FR,3350,Peromyscus maniculatus,5,5,20
FR,3350,Tamias minimus,5,5,41
FR,3350,Tamias umbrinus,4,5,4
FR,3450,Myodes gapperi,4,5,9
FR,3450,Peromyscus maniculatus,5,5,13
FR,3450,Phenacomys intermedius,4,5,5
FR,3450,Sorex monticolus,1,5,1
FR,3450,Tamias minimus,3,5,6
FR,3650,Marmota flaviventris,1,5,1
FR,3650,Microtus montanus,1,5,1
FR,3650,Peromyscus maniculatus,10,10,62
FR,3650,Phenacomys intermedius,4,5,4
FR,3650,Sorex nanus,1,5,1
SJ,1500,Ammospermophilus leucurus,1,5,2
SJ,1500,Perognathus flavus,5,5,11
SJ,1500,Peromyscus boylii,5,5,9
SJ,1500,Peromyscus crinitus,5,5,3
SJ,1500,Peromyscus maniculatus,5,5,74
SJ,1500,Peromyscus truei,5,5,16
SJ,1500,Reithrodontomys megalotis,5,5,16
SJ,1500,Tamias minimus,3,5,4
SJ,1500,Tamias rufus,1,5,1
SJ,1700,Ammospermophilus leucurus,2,5,2
SJ,1700,Neotoma mexicana,4,5,4
SJ,1700,Perognathus flavus,5,5,35
SJ,1700,Peromyscus boylii,5,5,11
SJ,1700,Peromyscus crinitus,5,5,1
SJ,1700,Peromyscus maniculatus,5,5,10
SJ,1700,Peromyscus truei,5,5,50
SJ,1700,Reithrodontomys megalotis,1,5,1
SJ,1700,Tamias rufus,3,5,4
SJ,1800,Neotoma albigula,5,5,2
SJ,1800,Neotoma mexicana,5,5,13
SJ,1800,Perognathus flavus,4,5,3
SJ,1800,Peromyscus boylii,5,5,6
SJ,1800,Peromyscus maniculatus,5,5,33
SJ,1800,Peromyscus truei,5,5,19
SJ,1800,Reithrodontomys megalotis,4,5,4
SJ,1800,Tamias rufus,5,5,6
SJ,1950,Neotoma albigula,5,5,5
SJ,1950,Neotoma mexicana,5,5,9
SJ,1950,Otospermophilus variegatus,2,5,1
SJ,1950,Peromyscus boylii,2,5,2
SJ,1950,Peromyscus maniculatus,4,5,5
SJ,1950,Peromyscus truei,5,5,13
SJ,1950,Tamias rufus,1,5,1
SJ,2250,Callospermophilus lateralis,3,5,3
SJ,2250,Microtus longicaudus,1,5,1
SJ,2250,Microtus montanus,3,5,5
SJ,2250,Peromyscus boylii,2,5,1
SJ,2250,Peromyscus maniculatus,5,5,52
SJ,2250,Tamias minimus,3,5,9
SJ,2350,Callospermophilus lateralis,4,5,6
SJ,2350,Microtus montanus,1,5,1
SJ,2350,Peromyscus maniculatus,5,5,54
SJ,2350,Tamias minimus,5,5,124
SJ,2350,Tamias quadrivittatus,4,5,10
SJ,2550,Callospermophilus lateralis,1,5,1
SJ,2550,Microtus longicaudus,1,5,1
SJ,2550,Microtus montanus,4,5,5
SJ,2550,Neotoma cinerea,5,5,5
SJ,2550,Peromyscus maniculatus,5,5,50
SJ,2550,Tamias minimus,4,5,69
SJ,2550,Tamiasciurus hudsonicus,1,5,1
SJ,2600,Callospermophilus lateralis,2,5,4
SJ,2600,Peromyscus maniculatus,5,5,8
SJ,2600,Tamias minimus,5,5,32
SJ,2900,Callospermophilus lateralis,4,5,7
SJ,2900,Myodes gapperi,5,5,5
SJ,2900,Peromyscus maniculatus,5,5,40
SJ,2900,Phenacomys intermedius,3,5,1
SJ,2900,Tamias minimus,4,5,12
SJ,3050,Microtus montanus,1,5,2
SJ,3050,Myodes gapperi,4,5,10
SJ,3050,Peromyscus maniculatus,3,5,1
SJ,3050,Sorex cinereus,1,5,1
SJ,3050,Tamias minimus,3,5,5
SJ,3050,Zapus princeps,3,5,3
SJ,3250,Callospermophilus lateralis,1,5,1
SJ,3250,Microtus montanus,5,5,1
SJ,3250,Myodes gapperi,10,10,18
SJ,3250,Peromyscus maniculatus,10,10,53
SJ,3250,Phenacomys intermedius,2,5,1
SJ,3250,Sorex monticolus,2,10,3
SJ,3250,Tamias minimus,10,10,82
SJ,3250,Zapus princeps,1,5,2
SJ,3400,Microtus longicaudus,4,5,4
SJ,3400,Microtus montanus,3,5,5
SJ,3400,Myodes gapperi,10,10,22
SJ,3400,Peromyscus maniculatus,8,10,21
SJ,3400,Phenacomys intermedius,4,10,2
SJ,3400,Sorex monticolus,5,10,1
SJ,3400,Sorex palustris,4,5,1
SJ,3400,Tamias minimus,9,10,30
SJ,3400,Zapus princeps,5,5,4
SJ,3500,Callospermophilus lateralis,1,5,4
SJ,3500,Myodes gapperi,5,5,18
SJ,3500,Peromyscus maniculatus,5,5,9
SJ,3500,Phenacomys intermedius,1,5,1
SJ,3500,Sorex monticolus,2,5,1
SJ,3500,Tamias minimus,5,5,34
